folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,png_name,png_path,status
puglia/1600404413_BA_Putignano_complesso_masseria a corte,download (13).pdf,0.original_foto_schede/puglia/1600404413_BA_Putignano_complesso_masseria a corte/download (13).pdf,1600404413,40181,cbbf76bc-e179-4ce7-8647-1f7f6d97ae24,cbbf76bc-e179-4ce7-8647-1f7f6d97ae24.png,1.output_png_schede/cbbf76bc-e179-4ce7-8647-1f7f6d97ae24.png,exported
"sardegna/Abbasanta (OR)_ loc. Cunzau Nou_EDIFICIO CON ANNESSI, dimora stagionale con recinto_2000252930",download.pdf,"0.original_foto_schede/sardegna/Abbasanta (OR)_ loc. Cunzau Nou_EDIFICIO CON ANNESSI, dimora stagionale con recinto_2000252930/download.pdf",2000252930,42538,036eb456-54ba-4155-9fec-99a26d9a8aaf,036eb456-54ba-4155-9fec-99a26d9a8aaf.png,1.output_png_schede/036eb456-54ba-4155-9fec-99a26d9a8aaf.png,exported
"sardegna/Atzara (NU)_ Via Sant_Antioco 67_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252735",download.pdf,"0.original_foto_schede/sardegna/Atzara (NU)_ Via Sant_Antioco 67_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252735/download.pdf",2000252735,204,83b268bc-a75c-4a68-b05b-0516681afe30,83b268bc-a75c-4a68-b05b-0516681afe30.png,1.output_png_schede/83b268bc-a75c-4a68-b05b-0516681afe30.png,exported
"sardegna/Banari (SS)_ Via Sassari, snc_EDIFICIO SINGOLO, capanna a tholos-pinnetta_2000253192",download.pdf,"0.original_foto_schede/sardegna/Banari (SS)_ Via Sassari, snc_EDIFICIO SINGOLO, capanna a tholos-pinnetta_2000253192/download.pdf",2000253192,43214,b28985ec-48c0-42d5-b474-96b797ee78c3,b28985ec-48c0-42d5-b474-96b797ee78c3.png,1.output_png_schede/b28985ec-48c0-42d5-b474-96b797ee78c3.png,exported
"sardegna/Flussio (OR)_ Vico Nazionale 2_EDIFICIO SINGOLO, casa a corte chiusa_2000252533",download.pdf,"0.original_foto_schede/sardegna/Flussio (OR)_ Vico Nazionale 2_EDIFICIO SINGOLO, casa a corte chiusa_2000252533/download.pdf",2000252533,33515,53befdb8-7e33-47ab-b26c-b1dadf69f1ed,53befdb8-7e33-47ab-b26c-b1dadf69f1ed.png,1.output_png_schede/53befdb8-7e33-47ab-b26c-b1dadf69f1ed.png,exported
sardegna/Ghilarza (OR)_ SP24_EDIFICIO SINGOLO_nuraghe_2000250386,download.pdf,0.original_foto_schede/sardegna/Ghilarza (OR)_ SP24_EDIFICIO SINGOLO_nuraghe_2000250386/download.pdf,2000250386,6257,c7ebfc27-ac20-4612-8fde-1e7f1604c501,c7ebfc27-ac20-4612-8fde-1e7f1604c501.png,1.output_png_schede/c7ebfc27-ac20-4612-8fde-1e7f1604c501.png,exported
"sardegna/Morgongiori (OR)_ Via Chiesa 43_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252572",download.pdf,"0.original_foto_schede/sardegna/Morgongiori (OR)_ Via Chiesa 43_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252572/download.pdf",2000252572,36664,33980324-a905-4730-9de9-c2d7292f3041,33980324-a905-4730-9de9-c2d7292f3041.png,1.output_png_schede/33980324-a905-4730-9de9-c2d7292f3041.png,exported
"sardegna/Narbolia (OR)_ Vico Mariano 9_EDIFICIO SINGOLO, casa a corte chiusa_2000252660",download.pdf,"0.original_foto_schede/sardegna/Narbolia (OR)_ Vico Mariano 9_EDIFICIO SINGOLO, casa a corte chiusa_2000252660/download.pdf",2000252660,35355,20033d70-dc34-412d-acd4-63f59d1f47fd,20033d70-dc34-412d-acd4-63f59d1f47fd.png,1.output_png_schede/20033d70-dc34-412d-acd4-63f59d1f47fd.png,exported
"sardegna/Padria (SS)_ EDIFICIO SINGOLO, stazzo_2000252806",download.pdf,"0.original_foto_schede/sardegna/Padria (SS)_ EDIFICIO SINGOLO, stazzo_2000252806/download.pdf",2000252806,40253,482924b8-90a4-4bd2-a8b0-71b9319178ce,482924b8-90a4-4bd2-a8b0-71b9319178ce.png,1.output_png_schede/482924b8-90a4-4bd2-a8b0-71b9319178ce.png,exported
"sardegna/Romana (SS)_EDIFICIO SINGOLO, capanna a tholos-pinnetta_2000253268",download.pdf,"0.original_foto_schede/sardegna/Romana (SS)_EDIFICIO SINGOLO, capanna a tholos-pinnetta_2000253268/download.pdf",2000253268,38488,2db5e657-6e25-442f-9cc4-937a447f3e23,2db5e657-6e25-442f-9cc4-937a447f3e23.png,1.output_png_schede/2db5e657-6e25-442f-9cc4-937a447f3e23.png,exported
sardegna/Seneghe (OR)_ Via Pippia 2_EDIFICIO SINGOLO_casa a corte chiusa_2000252766,download.pdf,0.original_foto_schede/sardegna/Seneghe (OR)_ Via Pippia 2_EDIFICIO SINGOLO_casa a corte chiusa_2000252766/download.pdf,2000252766,3977,fd18ccb7-5dc5-4b77-b303-f0b2f9caa292,fd18ccb7-5dc5-4b77-b303-f0b2f9caa292.png,1.output_png_schede/fd18ccb7-5dc5-4b77-b303-f0b2f9caa292.png,exported
"sardegna/Sindia (NU)_ Corso Umberto 96_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252796",download.pdf,"0.original_foto_schede/sardegna/Sindia (NU)_ Corso Umberto 96_EDIFICIO CON ANNESSI, casa a corte chiusa_2000252796/download.pdf",,,,,,no_matching_iccd_code
"sardegna/Sindia (NU)_ Vico Caprera 2_EDIFICIO SINGOLO, casa a corte chiusa_2000252970",download.pdf,"0.original_foto_schede/sardegna/Sindia (NU)_ Vico Caprera 2_EDIFICIO SINGOLO, casa a corte chiusa_2000252970/download.pdf",2000252970,40528,4c61e522-4905-4e02-886f-a2eca48d3de4,4c61e522-4905-4e02-886f-a2eca48d3de4.png,1.output_png_schede/4c61e522-4905-4e02-886f-a2eca48d3de4.png,exported
"sardegna/Tortolì (NU)_ Via Aspromonte 7_EDIFICIO CON ANNESSI, casa_2000252869",download.pdf,"0.original_foto_schede/sardegna/Tortolì (NU)_ Via Aspromonte 7_EDIFICIO CON ANNESSI, casa_2000252869/download.pdf",2000252869,40041,76fe01af-1d43-4dcb-bab2-b2c499e60965,76fe01af-1d43-4dcb-bab2-b2c499e60965.png,1.output_png_schede/76fe01af-1d43-4dcb-bab2-b2c499e60965.png,exported
"sardegna/Villaputzu (SU)_ Piazza Sant_Antonio 16a-16b_EDIFICIO SINGOLO, casa a corte chiusa_2000252308",download.pdf,"0.original_foto_schede/sardegna/Villaputzu (SU)_ Piazza Sant_Antonio 16a-16b_EDIFICIO SINGOLO, casa a corte chiusa_2000252308/download.pdf",2000252308,35725,9918cdc0-7ce1-49d8-bc64-d5c52eea9cef,9918cdc0-7ce1-49d8-bc64-d5c52eea9cef.png,1.output_png_schede/9918cdc0-7ce1-49d8-bc64-d5c52eea9cef.png,exported
sicilia/1900387959_TP_Pantelleria_complesso_dammuso,download (13).pdf,0.original_foto_schede/sicilia/1900387959_TP_Pantelleria_complesso_dammuso/download (13).pdf,1900387959,35301,11116fd9-3270-4110-8fee-37b705e6389b,11116fd9-3270-4110-8fee-37b705e6389b.png,1.output_png_schede/11116fd9-3270-4110-8fee-37b705e6389b.png,exported
