folder,pdf_name,pdf_path,iccd_code,csv_index,id_scheda_originale,pdf_png_name,pdf_png_path,pdf_status,image_candidates,selected_image_name,selected_image_path,random_image_name,random_image_path,image_status,status
lazio/Viterbo (VT)_ strada Cipollara_COMPLESSO_casa a edifici affiancati,download.pdf,0.original_foto_schede/lazio/Viterbo (VT)_ strada Cipollara_COMPLESSO_casa a edifici affiancati/download.pdf,1201416060,29360,22eb8719-4afd-4697-afb8-d07ee65402d5,22eb8719-4afd-4697-afb8-d07ee65402d5.png,1.output_png_schede/22eb8719-4afd-4697-afb8-d07ee65402d5.png,already_exists,6,"Viterbo, strada Cipollara_Casale, lato nord-ovest.JPG","0.original_foto_schede/lazio/Viterbo (VT)_ strada Cipollara_COMPLESSO_casa a edifici affiancati/Viterbo, strada Cipollara_Casale, lato nord-ovest.JPG",22eb8719-4afd-4697-afb8-d07ee65402d5.jpg,2.output_images_random/22eb8719-4afd-4697-afb8-d07ee65402d5.jpg,copied,matched
"lazio/Viterbo (VT)_ Strada del Bullicame_EDIFICIO SINGOLO, casa con torre_1201413741",download.pdf,"0.original_foto_schede/lazio/Viterbo (VT)_ Strada del Bullicame_EDIFICIO SINGOLO, casa con torre_1201413741/download.pdf",1201413741,19425,c172de93-3334-4684-8f46-fbfa14bcf27b,c172de93-3334-4684-8f46-fbfa14bcf27b.png,1.output_png_schede/c172de93-3334-4684-8f46-fbfa14bcf27b.png,already_exists,5,"Viterbo, Strada del Bullicame, Casa del Boia_Lato sud.JPG","0.original_foto_schede/lazio/Viterbo (VT)_ Strada del Bullicame_EDIFICIO SINGOLO, casa con torre_1201413741/Viterbo, Strada del Bullicame, Casa del Boia_Lato sud.JPG",c172de93-3334-4684-8f46-fbfa14bcf27b.jpg,2.output_images_random/c172de93-3334-4684-8f46-fbfa14bcf27b.jpg,copied,matched
"lazio/Viterbo (VT)_ Strada Poggio Casale_EDIFICIO SINGOLO, casa con torre_1201417708",download.pdf,"0.original_foto_schede/lazio/Viterbo (VT)_ Strada Poggio Casale_EDIFICIO SINGOLO, casa con torre_1201417708/download.pdf",1201417708,37239,d506a9f3-6e7b-4876-ab39-0eca9fd97e2c,d506a9f3-6e7b-4876-ab39-0eca9fd97e2c.png,1.output_png_schede/d506a9f3-6e7b-4876-ab39-0eca9fd97e2c.png,already_exists,5,"Viterbo, Strada Poggio Casale_Casa con torre, lato nord.JPG","0.original_foto_schede/lazio/Viterbo (VT)_ Strada Poggio Casale_EDIFICIO SINGOLO, casa con torre_1201417708/Viterbo, Strada Poggio Casale_Casa con torre, lato nord.JPG",d506a9f3-6e7b-4876-ab39-0eca9fd97e2c.jpg,2.output_images_random/d506a9f3-6e7b-4876-ab39-0eca9fd97e2c.jpg,copied,matched
"lazio/Viterbo (VT)_ Strada Respoglio_ED. ANN., casale con torre colombaia",download.pdf,"0.original_foto_schede/lazio/Viterbo (VT)_ Strada Respoglio_ED. ANN., casale con torre colombaia/download.pdf",1201416833,33648,279efb6e-cbe0-4481-8dc6-6d7feec655ef,279efb6e-cbe0-4481-8dc6-6d7feec655ef.png,1.output_png_schede/279efb6e-cbe0-4481-8dc6-6d7feec655ef.png,already_exists,6,"Viterbo, strada Respoglio_Casale, lato est.JPG","0.original_foto_schede/lazio/Viterbo (VT)_ Strada Respoglio_ED. ANN., casale con torre colombaia/Viterbo, strada Respoglio_Casale, lato est.JPG",279efb6e-cbe0-4481-8dc6-6d7feec655ef.jpg,2.output_images_random/279efb6e-cbe0-4481-8dc6-6d7feec655ef.jpg,copied,matched
lazio/Viterbo (VT)_ Strada Risiere_EDIFICIO CON ANNESSI_casale,download.pdf,0.original_foto_schede/lazio/Viterbo (VT)_ Strada Risiere_EDIFICIO CON ANNESSI_casale/download.pdf,1201415164,32152,ee8a9bb7-b426-42b7-a07f-f04471656ce4,ee8a9bb7-b426-42b7-a07f-f04471656ce4.png,1.output_png_schede/ee8a9bb7-b426-42b7-a07f-f04471656ce4.png,already_exists,6,"Viterbo, località Castel d_Asso, strada Risiere_Casale, lato nord-est.JPG","0.original_foto_schede/lazio/Viterbo (VT)_ Strada Risiere_EDIFICIO CON ANNESSI_casale/Viterbo, località Castel d_Asso, strada Risiere_Casale, lato nord-est.JPG",ee8a9bb7-b426-42b7-a07f-f04471656ce4.jpg,2.output_images_random/ee8a9bb7-b426-42b7-a07f-f04471656ce4.jpg,copied,matched
lazio/Viterbo (VT)_ Via Ficoncella_EDIFICIO CON ANNESSI_casale,download.pdf,0.original_foto_schede/lazio/Viterbo (VT)_ Via Ficoncella_EDIFICIO CON ANNESSI_casale/download.pdf,1201415909,43425,029c2f6d-739c-42ec-a7b3-7b6849fae1f8,029c2f6d-739c-42ec-a7b3-7b6849fae1f8.png,1.output_png_schede/029c2f6d-739c-42ec-a7b3-7b6849fae1f8.png,already_exists,6,"Viterbo, via Ficoncella_Casale,Planimetria catastale.jpg","0.original_foto_schede/lazio/Viterbo (VT)_ Via Ficoncella_EDIFICIO CON ANNESSI_casale/Viterbo, via Ficoncella_Casale,Planimetria catastale.jpg",029c2f6d-739c-42ec-a7b3-7b6849fae1f8.jpg,2.output_images_random/029c2f6d-739c-42ec-a7b3-7b6849fae1f8.jpg,copied,matched
liguria/0700381618_SP_Sarzana_EDANN_cascina,0700381618_SP_Sarzana_EDANN_cascina.pdf,0.original_foto_schede/liguria/0700381618_SP_Sarzana_EDANN_cascina/0700381618_SP_Sarzana_EDANN_cascina.pdf,0700381618,7673,378f1dbb-8332-4adf-bf03-931f3b262c5a,378f1dbb-8332-4adf-bf03-931f3b262c5a.png,1.output_png_schede/378f1dbb-8332-4adf-bf03-931f3b262c5a.png,already_exists,6,foto_contesto.JPG,0.original_foto_schede/liguria/0700381618_SP_Sarzana_EDANN_cascina/foto_contesto.JPG,378f1dbb-8332-4adf-bf03-931f3b262c5a.jpg,2.output_images_random/378f1dbb-8332-4adf-bf03-931f3b262c5a.jpg,copied,matched
liguria/0700381649_SV_Murialdo_EDANN_cascina,0700381649_SV_Murialdo_EDANN_cascina.pdf,0.original_foto_schede/liguria/0700381649_SV_Murialdo_EDANN_cascina/0700381649_SV_Murialdo_EDANN_cascina.pdf,0700381649,7615,8ee843d0-d89b-436a-acbd-bd912028205b,8ee843d0-d89b-436a-acbd-bd912028205b.png,1.output_png_schede/8ee843d0-d89b-436a-acbd-bd912028205b.png,already_exists,5,01_vista degli edifici nel contesto.JPG,0.original_foto_schede/liguria/0700381649_SV_Murialdo_EDANN_cascina/01_vista degli edifici nel contesto.JPG,8ee843d0-d89b-436a-acbd-bd912028205b.jpg,2.output_images_random/8ee843d0-d89b-436a-acbd-bd912028205b.jpg,copied,matched
liguria/0700381672_SV_Calizzano_EDSING_dimora stagionale,0700381672_SV_Calizzano Dimora stagionale.pdf,0.original_foto_schede/liguria/0700381672_SV_Calizzano_EDSING_dimora stagionale/0700381672_SV_Calizzano Dimora stagionale.pdf,0700381672,7679,5e2eec77-b722-429b-96f6-2bd9474553b4,5e2eec77-b722-429b-96f6-2bd9474553b4.png,1.output_png_schede/5e2eec77-b722-429b-96f6-2bd9474553b4.png,already_exists,5,01_Inserimento nel contesto.JPG,0.original_foto_schede/liguria/0700381672_SV_Calizzano_EDSING_dimora stagionale/01_Inserimento nel contesto.JPG,5e2eec77-b722-429b-96f6-2bd9474553b4.jpg,2.output_images_random/5e2eec77-b722-429b-96f6-2bd9474553b4.jpg,copied,matched
liguria/0700381676_SP_Sarzana_EDANN_cascina,0700381676_SP_Sarzana_EDANN_cascina.pdf,0.original_foto_schede/liguria/0700381676_SP_Sarzana_EDANN_cascina/0700381676_SP_Sarzana_EDANN_cascina.pdf,0700381676,7683,81b73bb1-0b96-43ea-a1b6-2eefbd163ffe,81b73bb1-0b96-43ea-a1b6-2eefbd163ffe.png,1.output_png_schede/81b73bb1-0b96-43ea-a1b6-2eefbd163ffe.png,already_exists,10,SP_SARZANA_ViaNavonella_ista_annesso_SudOvest_lato_versoStrada.JPG,0.original_foto_schede/liguria/0700381676_SP_Sarzana_EDANN_cascina/SP_SARZANA_ViaNavonella_ista_annesso_SudOvest_lato_versoStrada.JPG,81b73bb1-0b96-43ea-a1b6-2eefbd163ffe.jpg,2.output_images_random/81b73bb1-0b96-43ea-a1b6-2eefbd163ffe.jpg,copied,matched
